Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Cantidad de transacciones,Volumen de transacciones,Volumen de transacciones en USD,Volumen de transacciones en USD - Divisa,Media de transacciones en USD,Media de transacciones en USD - Divisa,Grandes transacciones,Volumen de transacciones grandes en USD,Volumen de transacciones grandes en USD - Divisa
BTC,Bitcoin,1,2015833794290.8901,USD,383258,536778.8400298,53032501384.14116,USD,138372.84905766134,USD,20074,51703907658.39025,USD
ETH,Ethereum,2,346686026876.4262,USD,1112055,3093026.130920742,9141253148.368399,USD,8220.144820506539,USD,8334,7903423488.573497,USD
XRP,XRP,3,156480980955.5538,USD,2069640,,4691203087.48972,USD,,,,,
USDT,Tether USDt,4,139538645552.84302,USD,152699,7020050399.0043125,7018076442.266937,USD,45960.199099319165,USD,7167,6174451943.691717,USD
SOL,Solana,5,105889439873.14832,USD,,,,,,,,,
BNB,BNB,6,87585594278.65921,USD,,,,,,,,,
USDC,USDC,7,54371104307.528755,USD,115014,11053755582.467196,11053855263.123892,USD,96108.7803495565,USD,9301,10152474200.410578,USD
DOGE,Dogecoin,8,42868002371.81696,USD,57608,,983435123.7155664,USD,,,,,
ADA,Cardano,9,28874911034.158703,USD,57257,,11115455670.673502,USD,,,,,
TRX,TRON,10,19785121979.61281,USD,6129194,,353264793.51252496,USD,,,,,
LINK,Chainlink,11,13976303652.827387,USD,9545,16563480.865571259,337560231.62233967,USD,35365.136890763715,USD,724,234602880.71596107,USD
AVAX,Avalanche,12,11781524912.279879,USD,391137,16154673.654685918,472362657.66301626,USD,1207.66549230325,USD,806,253742382.20640764,USD
SUI,Sui,13,11546235785.879713,USD,,,,,,,,,
XLM,Stellar,14,11284041478.456688,USD,1772377,,103379943.71130806,USD,,,,,
HBAR,Hedera,15,10603548002.878387,USD,,,,,,,,,
TON,Toncoin,16,10283599915.506664,USD,,913993.9018129433,,,7718.210548702344,USD,3,1830518.408247334,USD
SHIB,Shiba Inu,17,9900056129.527454,USD,7110,6197231269605.8,95818357.56637794,USD,13476.562245622777,USD,215,66440194.95271108,USD
LEO,UNUS SED LEO,18,9045878654.7172,USD,11,351.92479966709675,3433.9062327516967,USD,312.17329388651785,USD,0,0,USD
HYPE,Hyperliquid,19,8395288373.379999,USD,,,,,,,,,
LTC,Litecoin,20,8169546381.645317,USD,188755,86137354.65510932,9708971929.950647,USD,51436.89931366399,USD,3260,8884842882.609299,USD
DOT,Polkadot,21,8111692101.464248,USD,,,,,,,,,
BGB,Bitget Token,22,7886880000,USD,,,,,,,,,
BCH,Bitcoin Cash,23,6991691434.5,USD,18255,776867.2643545,292393416.6214249,USD,16017.168809719253,USD,447,226269974.33726767,USD
USDE,Ethena USDe,24,6043209021.934246,USD,,,,,,,,,
UNI,Uniswap,25,6070997154.033016,USD,3186,12021091.30193338,109891546.64435834,USD,34492.01087393545,USD,178,78589355.30578013,USD
OM,MANTRA,26,5871274314.883953,USD,,,,,,,,,
DAI,Dai,27,5359319820.210861,USD,6934,1595841925.6064694,1596632897.940991,USD,230261.45052509246,USD,882,1532677270.010053,USD
PEPE,Pepe,28,4758465527.889941,USD,,14262038216067.455,,,21293.907526398583,USD,327,95506136.68517496,USD
ONDO,Ondo,29,4516891944.9642,USD,,,,,,,,,
NEAR,NEAR Protocol,30,4466578440.352,USD,,,,,,,,,
AAVE,Aave,31,4270441082.079413,USD,3624,658047.3544475519,168676420.38777578,USD,46544.26611141716,USD,379,119273496.89941034,USD
XMR,Monero,32,4192022590.7504954,USD,24925,,,,,,,,
MNT,Mantle,33,4144294071.3401365,USD,,,,,,,,,
TRUMP,OFFICIAL TRUMP,34,3992400000,USD,,,,,,,,,
APT,Aptos,35,3731917112.8314695,USD,,,,,,,,,
ICP,Internet Computer,36,3704406783.042698,USD,55443,,37949250.55041978,USD,,,,,
ETC,Ethereum Classic,37,3337632366.967219,USD,22781,,20119545.20301411,USD,,,,,
VET,VeChain,38,3188381071.13849,USD,,,,,,,,,
TAO,Bittensor,39,3210184056.3199997,USD,,,,,,,,,
CRO,Cronos,40,3037660818.7667203,USD,707,80327493.93878277,9221596.30417226,USD,13043.276243525122,USD,15,6333756.405769935,USD
OKB,OKB,41,2967960000,USD,36,738.7710035127956,36443.573603286204,USD,1012.3214889801724,USD,0,0,USD
POL,POL (ex-MATIC),42,2963081201.617229,USD,,,,,,,,,
KAS,Kaspa,43,2915175002.0984716,USD,,,,,,,,,
RENDER,Render,44,2657232170.122876,USD,,,,,,,,,
ALGO,Algorand,45,2638731742.664882,USD,1324203,177414335.354775,53101973.8318307,USD,40.10108256198687,USD,54,7562671.149315205,USD
JUP,Jupiter,46,2607662203.8344316,USD,,,,,,,,,
FIL,Filecoin,47,2228398473.5796,USD,,,,,,,,,
ARB,Arbitrum,48,2230964379.38066,USD,,,,,,,,,
FET,Artificial Superintelligence Alliance,49,2130468407.5105686,USD,,,,,,,,,
ENA,Ethena,50,2189061875,USD,,,,,,,,,
DEXE,DeXe,51,1981298468.4975915,USD,,18923.774664156823,,,3546.135443484973,USD,0,0,USD
GT,GateToken,52,1970458509.6163335,USD,,,,,,,,,
ATOM,Cosmos,53,1939268212.3624,USD,,,,,,,,,
RAY,Raydium,54,1847935105.9784727,USD,,,,,,,,,
FDUSD,First Digital USD,55,1773548809.712724,USD,,,,,,,,,
TIA,Celestia,56,1793193042.1595857,USD,,,,,,,,,
LDO,Lido DAO,57,1719749216.2493312,USD,1900,28765023.886573777,54199023.98142245,USD,28525.8020954855,USD,90,24211197.640234124,USD
OP,Optimism,58,1630173156.21,USD,,349742932.69187355,,,5117.846458119195,USD,481,236537844.84250507,USD
INJ,Injective,59,1603032240.83577,USD,679,329772.2959979173,5093745.567512056,USD,7501.83441459802,USD,7,1498471.2469344782,USD
STX,Stacks,60,1593763699.8411412,USD,,,,,,,,,
BONK,Bonk,61,1550956805.597579,USD,,,,,,,,,
KCS,KuCoin Token,62,1577110100.1626222,USD,84,42776.650956,536762.6011900118,USD,6390.03096654776,USD,0,0,USD
THETA,Theta Network,63,1572500000,USD,,,,,,,,,
IMX,Immutable,64,1563805253.1127377,USD,1040,14757093.173845572,13015826.79894927,USD,12515.21807591276,USD,14,6545327.172643887,USD
MOVE,Movement,65,1542909000,USD,,,,,,,,,
XDC,XDC Network,66,1485795610.4663553,USD,,,,,,,,,
