Moneda,Descripción,Ranking,Precio,Precio - Divisa,Capitalización de mercado,Capitalización de mercado - Divisa,Capitalización de mercado totalmente diluida,Capitalización de mercado totalmente diluida - Divisa,Oferta circulante,Oferta total,Volumen/Capitalización de mercado,Ratio valor de red/transacciones,Velocidad
BTC,Bitcoin,1,101671.11,USD,2015050535436.33,USD,2135093310000,USD,19819303,19819303,0.059060966586323,37.99652067776895,0.026318199197251268
ETH,Ethereum,2,2877.22,USD,346776420490.8763,USD,346776420490.8763,USD,120524819.26681878,120524819.26681878,0.27649956255794134,37.9353262471209,0.026360653747531562
XRP,XRP,3,2.707,USD,156204003041.037,USD,270700000000,USD,57703732191,99986541057,0.24097949241712846,33.29721611447487,0.030032540755420174
USDT,Tether USDt,4,1.001,USD,139538645552.84302,USD,142715466794.8351,USD,139399246306.5365,142572893900.9342,2.1674601056785234,19.882748029425862,0.050294858563817754
SOL,Solana,5,217.03,USD,105684916696.57106,USD,128753872383.76596,USD,486959944.2315397,593253800.7822235,0.14992179794746038,,
BNB,BNB,6,613.69,USD,87438839394.96092,USD,87438839394.96092,USD,142480469.61,142480469.61,0.04660118954086157,,
USDC,USDC,7,0.99872,USD,54370559905.09459,USD,54370559905.09459,USD,54440243416.66792,54440243416.66792,0.48373070227332304,4.918696564308832,0.20330589352801812
DOGE,Dogecoin,8,0.28955,USD,42823633212.90185,USD,42823633212.90185,USD,147897196383.70523,147897196383.70523,0.267056802989386,43.54494992115768,0.02296477552071127
ADA,Cardano,9,0.81847,USD,28798557752.641685,USD,36831150000,USD,35185844017.05827,44995198033.24976,0.16763482068690314,2.5908571457508893,0.3859726506496279
TRX,TRON,10,0.22974,USD,19785121979.61281,USD,19785121997.895187,USD,86119622092.85631,86119622172.43488,0.10226976959414344,56.00649241858665,0.01785507281059676
LINK,Chainlink,11,21.872,USD,13956522553.743351,USD,21872000000,USD,638099970.4527867,1000000000,0.20561590155304243,41.34528077157449,0.024186557240349307
AVAX,Avalanche,12,28.527,USD,11746114045.105656,USD,20418163706.913002,USD,411754269.4677202,450090569.4677202,0.16408917176011825,24.866728676688364,0.04021437692918019
SUI,Sui,13,3.7369,USD,11545926815.160263,USD,37369000000,USD,3089707194.508888,10000000000,0.4054971160778555,,
XLM,Stellar,14,0.36929,USD,11286792192.793259,USD,18465167237.60348,USD,30563492628.539246,50001786894.45034,0.15802771486565703,109.17777460115477,0.009159373358297258
HBAR,Hedera,15,0.27597,USD,10560688376.896852,USD,13798500000,USD,38267523197.79995,50000000000,0.1538306564283553,,
TON,Toncoin,16,4.1289,USD,10280612016.933119,USD,21145930252.246696,USD,2489915477.956143,5121444029.220058,0.08119115878344861,,
SHIB,Shiba Inu,17,0.000016745,USD,9867057906.608963,USD,9871300420.669693,USD,589253980687307.5,589507340738709.6,0.16446895330664327,102.97669629510798,0.00971093495885929
LEO,UNUS SED LEO,18,9.7964,USD,9053641770.84916,USD,9651800276.9856,USD,924180491.9,985239504,0.00025275916006515874,2636543.0961678275,3.7928452656566994e-7
HYPE,Hyperliquid,19,25.157,USD,8400631224.26,USD,25157000000,USD,333928180,999993930,0.0705743072384753,,
LTC,Litecoin,20,108.044,USD,8156561592.172013,USD,9075696000,USD,75492962.0540892,84000000,0.3018388303447305,0.8401055900687391,1.190326563495641
DOT,Polkadot,21,5.2342,USD,8087895991.596344,USD,8087895991.596344,USD,1545201939.4742928,1545201939.4742928,0.1470020554923816,,
