timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-22,1.00070000,1.00140000,1.00060000,1.00120000,640832826.00000000,1705967999999,641442721.61060000,253380,327034119.00000000,327354669.23340000,0
2024-01-23,1.00120000,1.00160000,1.00070000,1.00080000,612553534.00000000,1706054399999,613196810.17850000,260780,277963785.00000000,278267606.56930000,0
2024-01-24,1.00080000,1.00120000,1.00030000,1.00050000,511836463.00000000,1706140799999,512197252.78390000,187780,239963640.00000000,240138490.72060000,0
2024-01-25,1.00040000,1.00090000,1.00030000,1.00050000,443972377.00000000,1706227199999,444205945.78980000,148747,231120850.00000000,231248751.16050000,0
2024-01-26,1.00060000,1.00090000,1.00010000,1.00020000,527814113.00000000,1706313599999,528090908.88050000,194620,258213356.00000000,258359880.77960000,0
2024-01-27,1.00020000,1.00040000,1.00000000,1.00010000,162738062.00000000,1706399999999,162773041.14540000,99878,73486521.00000000,73505677.88170000,0
2024-01-28,1.00000000,1.00020000,1.00000000,1.00010000,193301596.00000000,1706486399999,193327249.46330000,124411,104752624.00000000,104770559.35430000,0
2024-01-29,1.00020000,1.00050000,1.00000000,1.00000000,476833811.00000000,1706572799999,476947588.76680000,163340,222119208.00000000,222182254.46520000,0
2024-01-30,1.00010000,1.00050000,0.99990000,1.00010000,721929577.00000000,1706659199999,722045480.13030000,189472,371212367.00000000,371283645.11820000,0
2024-01-31,1.00000000,1.00110000,0.99990000,1.00060000,1022644872.00000000,1706745599999,1023153966.70720000,245159,561202923.00000000,561491816.74940000,0
2024-02-01,1.00070000,1.00120000,1.00020000,1.00030000,613553835.00000000,1706831999999,613992767.60310000,216469,283585375.00000000,283799783.59770000,0
2024-02-02,1.00030000,1.00100000,1.00030000,1.00050000,521310675.00000000,1706918399999,521628750.24410000,169183,282901528.00000000,283081255.84540000,0
2024-02-03,1.00050000,1.00080000,1.00030000,1.00030000,163036847.00000000,1707004799999,163121883.85580000,97080,73538435.00000000,73580321.84590000,0
2024-02-04,1.00040000,1.00080000,1.00030000,1.00040000,200248171.00000000,1707091199999,200342708.54540000,95872,103334750.00000000,103386882.04330000,0
2024-02-05,1.00050000,1.00170000,1.00040000,1.00130000,508957611.00000000,1707177599999,509486750.34390000,159777,277387225.00000000,277679580.30180000,0
2024-02-06,1.00120000,1.00160000,1.00020000,1.00030000,524856634.00000000,1707263999999,525328117.42290000,154544,225193856.00000000,225405738.76230000,0
2024-02-07,1.00030000,1.00100000,1.00010000,1.00020000,657772003.00000000,1707350399999,658165721.22960000,175238,325667416.00000000,325874477.94280000,0
2024-02-08,1.00010000,1.00050000,0.99980000,0.99990000,715624167.00000000,1707436799999,715723875.59370000,221822,318396938.00000000,318452635.13650000,0
2024-02-09,0.99980000,1.00030000,0.99910000,0.99950000,648620366.00000000,1707523199999,648549263.09410000,244190,287662894.00000000,287641442.67460000,0
2024-02-10,0.99960000,0.99990000,0.99920000,0.99970000,332644575.00000000,1707609599999,332478271.17180000,155796,156451664.00000000,156378100.96530000,0
2024-02-11,0.99970000,0.99990000,0.99930000,0.99960000,284788817.00000000,1707695999999,284675357.19010000,124885,126690347.00000000,126643932.90980000,0
2024-02-12,0.99970000,1.00020000,0.99920000,0.99970000,560192889.00000000,1707782399999,560075696.15610000,222620,242448378.00000000,242404965.57720000,0
2024-02-13,0.99980000,1.00020000,0.99930000,0.99950000,512319477.00000000,1707868799999,512194217.99910000,216298,241770988.00000000,241721816.95110000,0
2024-02-14,0.99950000,1.00010000,0.99900000,0.99920000,489470297.00000000,1707955199999,489238844.91630000,231923,226627679.00000000,226528344.24670000,0
2024-02-15,0.99910000,0.99980000,0.99870000,0.99900000,601254861.00000000,1708041599999,600815571.72400000,241928,272357743.00000000,272170264.36810000,0
2024-02-16,0.99900000,0.99980000,0.99880000,0.99930000,475372282.00000000,1708127999999,475114926.02600000,228062,236580611.00000000,236459199.58660000,0
2024-02-17,0.99940000,0.99980000,0.99910000,0.99970000,193473505.00000000,1708214399999,193392970.50850000,138154,102505343.00000000,102466220.84150000,0
2024-02-18,0.99960000,1.00000000,0.99950000,0.99980000,209659832.00000000,1708300799999,209612627.85740000,148565,115498721.00000000,115477170.50500000,0
2024-02-19,0.99980000,1.00000000,0.99960000,0.99980000,390859417.00000000,1708387199999,390800007.68060000,190059,196037194.00000000,196016478.13180000,0
2024-02-20,0.99980000,1.00030000,0.99970000,0.99990000,619365985.00000000,1708473599999,619339868.57930000,258026,304551194.00000000,304548355.96320000,0
2024-02-21,0.99990000,1.00020000,0.99970000,1.00000000,543896742.00000000,1708559999999,543874186.68980000,230698,263362013.00000000,263362660.04040000,0
2024-02-22,1.00000000,1.00100000,0.99980000,1.00070000,749111714.00000000,1708646399999,749346305.97440000,234489,392815532.00000000,392947387.12270000,0
2024-02-23,1.00060000,1.00070000,0.99990000,1.00010000,614856136.00000000,1708732799999,615008122.02020000,238657,276292423.00000000,276368640.67110000,0
2024-02-24,1.00010000,1.00040000,1.00000000,1.00010000,269748390.00000000,1708819199999,269796743.19490000,154311,132808847.00000000,132838468.90620000,0
2024-02-25,1.00010000,1.00020000,0.99990000,1.00010000,215815263.00000000,1708905599999,215828528.99350000,126642,112258748.00000000,112270253.48750000,0
2024-02-26,1.00010000,1.00020000,0.99900000,0.99920000,902276922.00000000,1708991999999,902035839.72890000,299400,395834337.00000000,395743732.50760000,0
2024-02-27,0.99920000,0.99980000,0.99830000,0.99960000,927594363.00000000,1709078399999,927040808.06030000,306271,449798245.00000000,449543373.29550000,0
2024-02-28,0.99960000,0.99970000,0.99800000,0.99880000,1189966578.00000000,1709164799999,1189161619.06630000,440108,574960508.00000000,574595750.72850000,0
2024-02-29,0.99890000,1.00030000,0.99880000,0.99940000,1212459241.00000000,1709251199999,1212055965.65660000,415649,625964268.00000000,625772869.44870000,0
2024-03-01,0.99940000,1.00000000,0.99860000,0.99920000,887441930.00000000,1709337599999,886975270.29550000,272294,443868418.00000000,443643336.96570000,0
2024-03-02,0.99920000,0.99950000,0.99840000,0.99920000,568775913.00000000,1709423999999,568172309.66710000,227224,274286912.00000000,274002718.02250000,0
2024-03-03,0.99910000,0.99960000,0.99870000,0.99950000,444075084.00000000,1709510399999,443802368.44700000,210372,214027627.00000000,213905632.06140000,0
2024-03-04,0.99950000,0.99970000,0.99790000,0.99870000,1058400080.00000000,1709596799999,1057528192.45190000,384019,565349162.00000000,564897521.33510000,0
2024-03-05,0.99860000,1.00030000,0.99800000,0.99870000,1637258491.00000000,1709683199999,1636058703.65960000,667869,806847519.00000000,806276019.73450000,0
2024-03-06,0.99880000,1.00000000,0.99770000,0.99920000,1171711837.00000000,1709769599999,1170939597.64730000,389391,598389762.00000000,598017190.49030000,0
2024-03-07,0.99920000,0.99980000,0.99770000,0.99840000,975051025.00000000,1709855999999,974165291.21540000,324793,489373797.00000000,488941858.07200000,0
2024-03-08,0.99840000,0.99920000,0.99130000,0.99770000,1113679499.00000000,1709942399999,1111823066.17250000,368500,601638774.00000000,600636828.95920000,0
2024-03-09,0.99780000,0.99830000,0.99710000,0.99780000,466146636.00000000,1710028799999,465081371.75040000,232471,273276476.00000000,272653516.17470000,0
2024-03-10,0.99790000,0.99900000,0.99730000,0.99900000,601751586.00000000,1710115199999,600596949.11920000,243544,309905232.00000000,309318214.21920000,0
2024-03-11,0.99900000,1.00000000,0.99830000,0.99970000,1334545214.00000000,1710201599999,1333795706.40750000,387819,676675550.00000000,676314470.92970000,0
2024-03-12,0.99970000,1.00020000,0.99910000,0.99980000,1271673107.00000000,1710287999999,1271362576.65420000,411573,648951228.00000000,648806654.59640000,0
2024-03-13,0.99990000,1.00010000,0.99810000,0.99940000,845991893.00000000,1710374399999,845417925.61830000,274788,427751745.00000000,427471411.85800000,0
2024-03-14,0.99940000,1.00210000,0.99870000,1.00020000,1255126196.00000000,1710460799999,1255032152.17260000,386736,620443541.00000000,620391421.98620000,0
2024-03-15,1.00030000,1.00120000,0.99970000,0.99990000,1329241925.00000000,1710547199999,1329725879.73970000,567449,675485171.00000000,675742065.86440000,0
2024-03-16,0.99990000,1.00110000,0.99980000,1.00070000,679445144.00000000,1710633599999,679649817.18330000,343689,333671005.00000000,333772210.83400000,0
2024-03-17,1.00080000,1.00180000,1.00030000,1.00070000,592063806.00000000,1710719999999,592571201.09700000,310280,313503935.00000000,313777936.97250000,0
2024-03-18,1.00070000,1.00100000,0.99990000,1.00010000,1021216374.00000000,1710806399999,1021641176.15430000,351726,503490356.00000000,503714669.34600000,0
2024-03-19,1.00000000,1.00150000,0.99980000,1.00050000,1503662142.00000000,1710892799999,1504365421.07730000,488537,684708420.00000000,685033897.78440000,0
2024-03-20,1.00060000,1.00090000,0.99960000,0.99990000,1719889371.00000000,1710979199999,1720282494.22330000,439940,838901631.00000000,839110728.82770000,0
2024-03-21,1.00000000,1.00080000,0.99970000,1.00040000,1178836285.00000000,1711065599999,1178938629.34410000,299965,584603255.00000000,584671688.15750000,0
2024-03-22,1.00040000,1.00040000,0.99980000,0.99980000,1006314575.00000000,1711151999999,1006325007.05530000,272184,490952246.00000000,490973851.30360000,0
2024-03-23,0.99990000,1.00010000,0.99980000,0.99980000,295608018.00000000,1711238399999,295587205.15150000,136510,138121657.00000000,138118795.79620000,0
2024-03-24,0.99990000,1.00030000,0.99960000,1.00010000,412265767.00000000,1711324799999,412272606.36990000,139857,223084236.00000000,223091670.14120000,0
2024-03-25,1.00010000,1.00010000,0.99930000,0.99970000,1286419988.00000000,1711411199999,1286065132.70220000,251687,679299197.00000000,679123026.01060000,0
2024-03-26,0.99970000,1.00020000,0.99950000,1.00010000,901243209.00000000,1711497599999,901079422.53330000,231985,479100416.00000000,479029097.59340000,0
2024-03-27,1.00000000,1.00080000,0.99980000,1.00060000,1341382840.00000000,1711583999999,1341670585.28760000,296232,695856255.00000000,696016427.85080000,0
2024-03-28,1.00060000,1.00090000,0.99960000,0.99990000,1111756943.00000000,1711670399999,1112003418.54570000,210572,479595041.00000000,479716199.11640000,0
2024-03-29,0.99990000,1.00010000,0.99940000,0.99940000,659578895.00000000,1711756799999,659446680.38310000,185453,301352426.00000000,301304430.64210000,0
2024-03-30,0.99940000,0.99970000,0.99910000,0.99960000,475820348.00000000,1711843199999,475543429.16530000,170698,248919965.00000000,248780552.98560000,0
2024-03-31,0.99960000,1.00020000,0.99950000,1.00000000,391403927.00000000,1711929599999,391359596.89950000,141184,194598919.00000000,194581615.65120000,0
2024-04-01,1.00000000,1.00020000,0.99920000,0.99960000,992470156.00000000,1712015999999,992232307.08090000,254858,448355630.00000000,448257332.03180000,0
2024-04-02,0.99960000,1.00040000,0.99890000,0.99980000,1760294749.00000000,1712102399999,1759734906.02790000,330709,844660988.00000000,844392754.78000000,0
2024-04-03,0.99980000,0.99980000,0.99920000,0.99960000,1101708527.00000000,1712188799999,1101205771.58140000,234019,544239059.00000000,544009169.93930000,0
2024-04-04,0.99970000,1.00030000,0.99930000,0.99970000,1760024026.00000000,1712275199999,1759710354.28980000,246232,936673687.00000000,936532495.13110000,0
2024-04-05,0.99970000,1.00020000,0.99930000,0.99960000,992514772.00000000,1712361599999,992177970.60170000,235466,500706064.00000000,500549407.17850000,0
2024-04-06,0.99970000,1.00000000,0.99940000,0.99980000,290329196.00000000,1712447999999,290235494.33670000,130564,147683998.00000000,147640748.23560000,0
2024-04-07,0.99990000,1.00010000,0.99950000,1.00010000,418239182.00000000,1712534399999,418143560.19980000,155006,222648947.00000000,222607812.48240000,0
2024-04-08,1.00010000,1.00050000,0.99970000,1.00000000,966111288.00000000,1712620799999,966222871.34580000,247316,450661482.00000000,450726224.16270000,0
2024-04-09,1.00010000,1.00050000,0.99950000,1.00050000,1096338622.00000000,1712707199999,1096314994.15180000,277402,527802281.00000000,527815775.28010000,0
2024-04-10,1.00040000,1.00070000,0.99990000,1.00000000,711332347.00000000,1712793599999,711455176.08630000,236785,333659475.00000000,333726932.26420000,0
2024-04-11,1.00010000,1.00040000,0.99980000,0.99990000,754750930.00000000,1712879999999,754807139.60990000,192923,387967540.00000000,388007485.19900000,0
2024-04-12,0.99990000,1.00100000,0.99950000,0.99960000,1356182606.00000000,1712966399999,1356396684.58850000,334939,701246064.00000000,701363778.32250000,0
2024-04-13,0.99960000,1.00000000,0.99530000,0.99870000,828994131.00000000,1713052799999,828444141.27280000,458123,358698532.00000000,358463824.51130000,0
2024-04-14,0.99870000,0.99980000,0.99870000,0.99890000,688856463.00000000,1713139199999,688439338.71340000,380339,360229691.00000000,360017762.47800000,0
2024-04-15,0.99900000,0.99980000,0.99870000,0.99960000,1179244790.00000000,1713225599999,1178329375.10350000,390502,630906156.00000000,630414482.51900000,0
2024-04-16,0.99970000,0.99990000,0.99920000,0.99960000,1049567036.00000000,1713311999999,1049112601.34050000,337744,519306998.00000000,519094109.03740000,0
2024-04-17,0.99960000,1.00020000,0.99930000,1.00000000,1163000884.00000000,1713398399999,1162755420.20190000,281965,589696659.00000000,589585446.54180000,0
2024-04-18,1.00000000,1.00020000,0.99910000,0.99950000,1006354155.00000000,1713484799999,1006004158.49630000,232343,473475338.00000000,473314309.42490000,0
2024-04-19,0.99950000,1.00000000,0.99910000,0.99950000,1095772885.00000000,1713571199999,1095281065.93020000,285055,549602744.00000000,549371056.22960000,0
2024-04-20,0.99960000,0.99980000,0.99950000,0.99960000,452117228.00000000,1713657599999,451966378.66880000,166545,229951501.00000000,229880357.81430000,0
2024-04-21,0.99970000,1.00000000,0.99950000,0.99980000,297872662.00000000,1713743999999,297793692.76510000,144854,156621036.00000000,156583643.07810000,0
2024-04-22,0.99980000,1.00000000,0.99930000,0.99960000,949247067.00000000,1713830399999,948879751.86240000,217238,485042780.00000000,484868023.87190000,0
2024-04-23,0.99960000,1.00000000,0.99940000,0.99990000,989067352.00000000,1713916799999,988701506.22630000,181862,499757362.00000000,499587870.48000000,0
2024-04-24,1.00000000,1.00100000,0.99980000,1.00060000,981964985.00000000,1714003199999,982204999.31230000,249284,495423950.00000000,495544187.48090000,0
2024-04-25,1.00050000,1.00070000,0.99990000,1.00030000,849689156.00000000,1714089599999,850009590.67230000,236597,420369255.00000000,420537027.90960000,0
2024-04-26,1.00030000,1.00050000,0.99990000,1.00030000,826812495.00000000,1714175999999,826949634.44560000,192281,391224108.00000000,391301869.51410000,0
2024-04-27,1.00030000,1.00090000,1.00020000,1.00070000,403091816.00000000,1714262399999,403319961.55720000,172486,206399880.00000000,206520994.61960000,0
2024-04-28,1.00070000,1.00090000,1.00020000,1.00030000,275586352.00000000,1714348799999,275727260.45220000,124531,117096554.00000000,117160852.83170000,0
2024-04-29,1.00030000,1.00060000,0.99980000,1.00030000,904426195.00000000,1714435199999,904588426.58770000,214076,447703961.00000000,447797010.78150000,0
2024-04-30,1.00030000,1.00160000,1.00000000,1.00090000,1128540994.00000000,1714521599999,1129118066.47030000,359640,595312199.00000000,595623302.30420000,0
2024-05-01,1.00080000,1.00170000,1.00070000,1.00140000,926475962.00000000,1714607999999,927568626.52650000,375642,435653713.00000000,436178018.26100000,0
2024-05-02,1.00140000,1.00150000,0.99980000,1.00000000,1149602208.00000000,1714694399999,1149990695.37410000,306274,511908004.00000000,512074636.50600000,0
2024-05-03,1.00010000,1.00030000,0.99950000,0.99970000,975834257.00000000,1714780799999,975740872.95570000,239055,449048840.00000000,449022694.77010000,0
2024-05-04,0.99970000,1.00000000,0.99960000,0.99980000,404917233.00000000,1714867199999,404849875.50690000,204991,199606225.00000000,199578346.18490000,0
2024-05-05,0.99980000,1.00000000,0.99970000,0.99980000,243788386.00000000,1714953599999,243754459.18520000,158529,123110873.00000000,123098655.28960000,0
2024-05-06,0.99990000,1.00020000,0.99970000,0.99990000,714613918.00000000,1715039999999,714562626.70440000,267155,367742271.00000000,367729504.79610000,0
2024-05-07,1.00000000,1.00020000,0.99980000,0.99990000,681344242.00000000,1715126399999,681354220.53760000,220187,329952226.00000000,329968299.23670000,0
2024-05-08,0.99990000,1.00040000,0.99990000,1.00040000,671828000.00000000,1715212799999,671916606.37910000,262415,368554099.00000000,368614615.85240000,0
2024-05-09,1.00030000,1.00060000,1.00000000,1.00020000,768425436.00000000,1715299199999,768702623.69210000,252698,380598658.00000000,380749297.97780000,0
2024-05-10,1.00020000,1.00060000,0.99990000,1.00020000,650574685.00000000,1715385599999,650698098.17320000,269769,329384959.00000000,329456223.46280000,0
2024-05-11,1.00030000,1.00060000,1.00010000,1.00030000,251635194.00000000,1715471999999,251718967.78420000,138776,122744830.00000000,122789498.49190000,0
2024-05-12,1.00020000,1.00060000,1.00020000,1.00050000,161023025.00000000,1715558399999,161084204.41910000,113530,83586224.00000000,83620813.35710000,0
2024-05-13,1.00040000,1.00050000,1.00000000,1.00010000,648027633.00000000,1715644799999,648220689.44410000,311787,296984309.00000000,297085928.34700000,0
2024-05-14,1.00010000,1.00070000,1.00010000,1.00040000,555371720.00000000,1715731199999,555634746.75820000,264637,317595302.00000000,317751886.61570000,0
2024-05-15,1.00040000,1.00060000,0.99920000,0.99960000,1181163173.00000000,1715817599999,1181094627.54350000,346269,554172765.00000000,554146571.41680000,0
2024-05-16,0.99970000,1.00010000,0.99950000,0.99990000,879169265.00000000,1715903999999,879004224.07920000,293012,466076319.00000000,465999484.71060000,0
2024-05-17,0.99990000,1.00010000,0.99950000,0.99950000,828046738.00000000,1715990399999,827845187.92640000,259963,406083609.00000000,405995860.43200000,0
2024-05-18,0.99950000,0.99990000,0.99950000,0.99980000,361408598.00000000,1716076799999,361290821.74760000,201134,188860694.00000000,188804608.64110000,0
2024-05-19,0.99980000,1.00010000,0.99970000,1.00000000,262527932.00000000,1716163199999,262495346.52360000,189937,149218067.00000000,149204769.05260000,0
2024-05-20,1.00010000,1.00020000,0.99920000,0.99970000,1166215314.00000000,1716249599999,1165932749.97640000,467188,599086531.00000000,598966838.35880000,0
2024-05-21,0.99980000,1.00060000,0.99970000,1.00010000,1568111985.00000000,1716335999999,1568309316.71030000,565317,882468834.00000000,882587327.18660000,0
2024-05-22,1.00010000,1.00050000,0.99990000,1.00040000,1108348712.00000000,1716422399999,1108542159.67650000,410018,542011057.00000000,542121438.11210000,0
2024-05-23,1.00030000,1.00130000,1.00020000,1.00050000,1399120759.00000000,1716508799999,1399909567.25590000,585111,737535871.00000000,737968339.34770000,0
2024-05-24,1.00040000,1.00090000,1.00010000,1.00020000,1083915532.00000000,1716595199999,1084396986.51280000,327212,534418602.00000000,534675399.10740000,0
2024-05-25,1.00030000,1.00050000,1.00010000,1.00010000,286674858.00000000,1716681599999,286740636.19400000,197286,135208770.00000000,135245503.17090000,0
2024-05-26,1.00020000,1.00070000,1.00000000,1.00050000,500358276.00000000,1716767999999,500549557.32740000,214528,259537158.00000000,259643475.21200000,0
2024-05-27,1.00050000,1.00120000,1.00040000,1.00070000,705671546.00000000,1716854399999,706188631.13890000,339226,377242171.00000000,377527740.62650000,0
2024-05-28,1.00080000,1.00150000,1.00060000,1.00110000,913664906.00000000,1716940799999,914577485.13520000,375794,435378470.00000000,435820273.50230000,0
2024-05-29,1.00110000,1.00150000,1.00050000,1.00130000,916959262.00000000,1717027199999,917796268.54230000,396774,446541695.00000000,446960938.32310000,0
2024-05-30,1.00120000,1.00130000,1.00010000,1.00030000,929828279.00000000,1717113599999,930378609.35340000,377866,429337499.00000000,429595096.40710000,0
2024-05-31,1.00020000,1.00180000,1.00010000,1.00100000,771450847.00000000,1717199999999,772019909.47850000,392437,394305367.00000000,394595242.46580000,0
2024-06-01,1.00100000,1.00130000,1.00070000,1.00070000,236316458.00000000,1717286399999,236538188.16430000,197094,110510487.00000000,110615764.95510000,0
2024-06-02,1.00070000,1.00090000,1.00040000,1.00060000,265229579.00000000,1717372799999,265405465.54710000,255216,121508633.00000000,121592959.28330000,0
2024-06-03,1.00050000,1.00080000,1.00000000,1.00010000,610094869.00000000,1717459199999,610297974.64020000,244061,297481483.00000000,297587872.67070000,0
2024-06-04,1.00010000,1.00050000,0.99980000,0.99990000,824714946.00000000,1717545599999,824848219.72750000,397329,391669886.00000000,391743208.13160000,0
2024-06-05,1.00000000,1.00060000,0.99980000,0.99980000,790825539.00000000,1717631999999,790866031.61490000,251082,429296855.00000000,429328728.59330000,0
